  Error on attempt 3/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-57f655b559-svnq4: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-svnq4" not found
, retrying in 3s …
  Error on attempt 1/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 2/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: command terminated with exit code 137
, retrying in 3s …
  Error on attempt 3/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 4/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 5/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 6/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: error: unable to upgrade connection: container not found ("target-app")
, retrying in 3s …
  Error on attempt 7/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-s5jts" not found
, retrying in 3s …
  Error on attempt 8/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-s5jts" not found
, retrying in 3s …
  Error on attempt 9/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-s5jts" not found
, retrying in 3s …
  Error on attempt 10/10 for pod target-app-57f655b559-s5jts: kubectl exec failed: Error from server (NotFound): pods "target-app-57f655b559-s5jts" not found
, retrying in 3s …
  → pod=target-app-57f655b559-svnq4 status=200  latency=1867.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1931.4ms
[95/756] 2022-04-12T15:20:00  total_mb=6441  pods=1
  → pod=target-app-57f655b559-svnq4 status=ERROR  latency=0.0ms
[96/756] 2022-04-12T16:00:00  total_mb=6446  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3208.9ms
[97/756] 2022-04-12T16:40:00  total_mb=6453  pods=1
  → pod=target-app-55dc8c66cd-8dr7b status=200  latency=3726.9ms
[98/756] 2022-04-12T17:20:00  total_mb=6473  pods=1
